Title,First Author,Year,Cue Type,Decision Scale,Taxonomic Group,Species,"Adaptive in tracking environmental variability? (adaptive, maladaptive, or not discussed)",Is the social cue conclusion hypothesized or speculative?,Notes
Is ungulate migration culturally transmitted? Evidence of social learning from translocated animals,Jesmer,2018,social learning,migration progress,Mammals,bighorn sheep,adaptive (discussed briefly),No,
Vocal Signalling by Eurasian Spoonbills Platalea leucorodia in Flocks before Migratory Departure,Lagarde,2021,active cueing,migration timing fine,Birds,Eurasian spoonbill,not discussed,*Speculative mechanism,
Individual Black-tailed Godwits do not stick to single routes: a hypothesis on how low population densities might decrease social conformity,Loonstra,2020,social learning,migration progress,Birds,black-tailed godwit,not discussed,*Speculative mechanism,
Factors triggering floodplain Fish emigration: importance of Fish density and food availability,Louca,2009,density dependency,to migrate or not to migrate,Fish,Guinea tilapia,adaptive (discussed briefly),No,
Critical Population Density Triggers Rapid Formation of Vast Oceanic Fish Shoals,Makris,2009,density dependency,migration timing fine,Fish,Atlantic herring,not discussed,No,
Hidden leks in a migratory songbird: mating advantages for earlier and more attractive males,Manica,2020,conspecific competition,migration timing broad,Birds,blue-black grassquit,not discussed,No,
"Daily migrations of a coral reef Fish in the Red Sea (Gulf of Aqaba, Israel): Initiation and orientation",Mazeroll,1998,leader/follower,migration timing fine,Fish,brown surgeonfish,not discussed,*Speculative mechanism,
Paternal effects in the initiation of migratory behaviour in birds,Mendez,2021,social learning,to migrate or not to migrate,Birds,Eurasian oystercatch,not discussed,No,
Partial migration in expanding red deer populations at northern latitudes – a role for density dependence?,Mysterud,2011,density dependency,to migrate or not to migrate,Mammals,red deer,not discussed,No,
Development of migratory behavior in northern white-tailed deer,Nelson,1998,social learning,to migrate or not to migrate,Mammals,white-tailed deer,adaptive (discussed briefly),No,
Acoustic signature reveals blue whales tune life history transitions to oceanographic conditions,Oestreich,2022,active cueing,migration timing broad,Mammals,blue whale,discussed briefly but no strong evidence,*Speculative mechanism,2nd reference: Oestreich et al. (2020) Current Biology
"Cultural transmission and flexibility of partial migration patterns in a long-lived bird, the great bustard Otis tarda",Palacin,2011,presence of young,to migrate or not to migrate,Birds,great bustard,not discussed,No,
"Cultural transmission and flexibility of partial migration patterns in a long-lived bird, the great bustard Otis tarda",Palacin,2011,social learning,to migrate or not to migrate,Birds,great bustard,not discussed,No,
"Cultural transmission and flexibility of partial migration patterns in a long-lived bird, the great bustard Otis tarda",Palacin,2011,social learning,to migrate or not to migrate,Birds,great bustard,not discussed,No,
"Behavioural aspects of the departure of waders before long-distance flights: flocking, vocalizations, flight paths and diurnal timing",Piersma,1990,active cueing,migration timing fine,Birds,waders,not discussed,*Speculative mechanism,
"Relationships between Behavior, Physiology and Weather in Avian Transients at a Migration Stopover Site",Rappole,1976,density dependency,migration progress,Birds,Northern waterthrush,not discussed,No,
Preflight and flight behavior of Canada Geese,Raveling,1969,active cueing,migration timing fine,Birds,Canada goose,not discussed,*Speculative mechanism,
Conflict of choice within pairs of Bewick's swans regarding their migratory movement to and from the wintering grounds,Rees,1987,leader/follower,migration timing broad,Birds,Bewick's Swan,not discussed,No,
Consistency in the timing of migration for individual Bewick's swans,Rees,1989,social learning,migration timing broad,Birds,Bewick's Swan,not discussed,*Speculative mechanism,
Social environment influences terminationof nomadic migration,Robart,2022,density dependency,migration timing fine,Birds,pine siskin,not discussed,No,
"Comparative swimming effort of migrating gray whales (Eschrichtius robustus) and calf cost of transport along Costa Azul, Baja California, Mexico",Rodriguez de la Gala-Hernandez,2008,presence of young,migration progress,Mammals,gray whale,not discussed,No,
"Waggle dance behavior associated with seasonal absconding in colonies of the African honeybee, Apis mellifera scutellata",Schneider,1994,active cueing,migration timing broad,Insects,African honeybee,not discussed,*Speculative mechanism,
Individual improvements and selective mortality shape lifelong migratory performance,Sergio,2014,conspecific competition,migration timing broad,Birds,black kite,discussed briefly but not clear if adaptive or maladaptive,No,
Winter-range philopatry of seasonally migratory moose,Sweanor,1989,social learning,to migrate or not to migrate,Mammals,moose,not discussed,No,
Local population density and the activation of movement in migratory band-forming Mormon crickets,Sword,2005,density dependency,to migrate or not to migrate,Insects,mormon cricket,not discussed,No,
Traffic noise causes physiological stress and impairs breeding migration behaviour in frogs,Tennessen,2014,active cueing,migration timing fine,Amphibians,wood frog,not discussed,No,
"Sex-differentiated migration patterns, protandry and phenology in North European songbird populations",Tottrup,2007,conspecific competition,to migrate or not to migrate,Birds,passerines,not discussed,No,
"First insights on spatial and temporal distribution patterns of humpback whales in the breeding ground at Sainte Marie Channel, Madagascar",Trudelle,2018,presence of young,migration progress,Mammals,humpback whale (SW Indian Ocean breeding grounds),not discussed,No,
"Senescence and carryover effects of reproductive performance influence migration, condition, and breeding propensity in a small shorebird",Weithman,2017,density dependency,migration timing broad,Birds,piping plover,not discussed,*Speculative mechanism,
